periodo;codigo_producto;id_orden;volumen_lote;costo_transformacion;costo_insumo;equipo_id;tipo_equipo;categoria_producto;num_insumos;insumo_1;insumo_2;cantidad_insumo_1;cantidad_insumo_2;modalidad_proceso;duracion_proceso
202510;P07576;580653;966,000;21,984046750;6,440871586;M13;A1;5;2;B_T;V_T;1,00;1,00;X;34,00
202510;P07576;579120;5487,000;24,448719140;4,730356877;M02;B2;5;2;V_T;B_T;5,00;3,00;X;221,00
202510;P07576;578340;4449,000;20,483811580;3,785837329;M02;B2;5;2;B_T;V_T;3,00;2,50;X;171,00
202510;P07091;583808;600,000;32,014644420;2,345758427;M13;A1;5;1;N_T;sin_segundo_insumo;0,50;0,00;X;37,00
202510;P07825;588361;2141,000;23,853957610;3,698447317;M02;B2;5;1;A_T;sin_segundo_insumo;1,00;0,00;Y;91,00
202510;P08322;585226;2336,000;35,360098320;5,848791562;M09;A1;5;2;A_T;R_T;2,50;1,00;X;134,00
202510;P05425;585003;525,000;31,933456590;1,608520064;M08;A1;3;1;N_T;sin_segundo_insumo;0,30;0,00;X;29,00
202510;P07664;588353;1693,000;33,206264970;2,494013685;M17;A1;4;1;N_T;sin_segundo_insumo;1,50;0,00;Y;106,00
202510;P08405;583841;1900,000;32,114355570;1,481531638;M09;A1;5;1;N_T;sin_segundo_insumo;1,00;0,00;Y;110,00
202510;P07929;579111;7400,000;22,615879170;4,936789266;M14;A1;5;2;N_T;N_O;8,00;2,00;X;309,00
202510;P07993;580607;3150,000;39,363513360;2,529794189;M08;A1;7;2;B_T;N_T;2,00;1,00;Z;201,00
202510;P08014;585969;1296,000;36,012128610;10,812468880;M17;A1;4;1;N_O;sin_segundo_insumo;2,00;0,00;Y;88,00
202510;P08342;581380;2176,000;51,895035420;8,289887657;M11;C3;5;1;B_T;sin_segundo_insumo;3,50;0,00;X;231,00
202510;P08401;588357;1548,000;46,281384150;4,546043464;M13;A1;5;1;N_T;sin_segundo_insumo;2,50;0,00;Y;138,00
202510;P07133;583098;1266,000;9,589430704;1,111733852;M05;D4;5;1;N_T;sin_segundo_insumo;0,50;0,00;X;21,00
202510;P06431;581389;1625,000;28,636987900;6,043932275;M17;A1;1;2;N_O;N_T;1,00;1,00;X;73,00
202510;P08413;580575;1600,000;26,217862440;9,112277903;M09;A1;5;1;V_T;sin_segundo_insumo;2,00;0,00;Y;68,00
202510;P07848;584441;1750,000;21,127484230;4,165612755;M17;A1;1;1;V_T;sin_segundo_insumo;1,00;0,00;Y;58,00
202510;P05291;588010;1173,000;29,077779290;8,787624184;M08;A1;7;1;B_T;sin_segundo_insumo;2,00;0,00;X;59,00
202511;P06943;582347;3800,000;30,382728930;5,229490114;M15;A1;5;2;B_T;R_T;4,00;3,00;X;232,00
202511;P06943;582345;3334,000;35,755973320;3,269492100;M15;A1;5;2;B_T;R_T;3,00;1,00;X;237,00
202511;P06943;582294;2000,000;36,169301030;7,051667396;M15;A1;5;2;B_T;R_T;3,00;2,00;X;144,00
202511;P06833;588614;2100,000;12,938555690;7,331084316;M08;A1;3;1;B_T;sin_segundo_insumo;3,00;0,00;Y;47,00
202511;P00194;587682;2625,000;4,787374994;0,968131024;M12;D4;3;1;N_T;sin_segundo_insumo;1,00;0,00;X;32,10
202511;P00194;583857;9450,000;4,756855295;0,672313211;M12;D4;3;1;N_T;sin_segundo_insumo;2,50;0,00;X;115,00
202511;P07767;584288;758,000;23,971601400;6,770130634;M13;A1;5;1;B_T;sin_segundo_insumo;1,00;0,00;X;35,00
202511;P06942;585130;965,000;23,962929730;8,205570680;M08;A1;5;1;A_T;sin_segundo_insumo;1,00;0,00;Y;40,00
202511;P05677;585120;538,000;24,603834150;2,834212570;M13;A1;4;1;N_T;sin_segundo_insumo;0,60;0,00;X;20,00
